Section Name/Locality,Paleocontinental Region,Formation/Unit/Basin,Locality No,ModernLAT,ModernLONG,LWK ( 375 Ma) Paleocoordinates (Long),LWK Paleocoordinates (Lat),UKW (370 Ma) Paleocoord (Long),UKW (370 Ma) Paleocoord (LAT),LWK or UKW,Rock type during Kelwasser event,Paleo-environment,Primary Lithology (LWK),Primary lithology(UKW),Primary Facies,LKW Numerical Depth,,Proxy,local/global,LKW redox,Degree of anoxia ,UKW Redox,Degree of anoxia (1-5),Color,Depth range of anoxia,References,DOI,
Consumers Power core,Euramerica-North America,"Antrim shale formation, Michigan basin",26,44.571,-84.582,-30.696,-30.0435,-30.696,-30.0435,LKW/UKW,alternating green mudstone and black shale beds(LKW)/grey shlae (UKW),center basin,dark shale,dark shale,basin,5,5.2,"iron minerals, sulfur isotopes, trace element",local,euxinic,4,anoxic,3,#5C5858,water column,Formolo et al 2014,https://doi.org/10.1016/j.palaeo.2014.08.024,
"Walnut Creek, New York",Euramerica-North America,Appalachian basin,27,42.48,-79.18,-27.1629,-33.31,-27.1629,-33.31,UKW,,basin ,N/A,dark shale,basin,5,5.2,"d15N, DOP",local,N/A,#N/A,euxinic,4,black,water column,Tuite and Macko 2013,https://doi.org/10.1130/G34549.1,
"Hony, Belgium",Euramerica-North America,Dinant basin,28,50.549,5.578,5.6451,-20.6271,5.6451,-20.6271,UKW,olive green to grey shale/ black shale,outer shelf under fair weather wave base,N/A,dark shale,proximal slope,3,3.2,"trace element, REE",local,N/A,#N/A,dysoxic,2,white,bottom,Claeys et al 1996,,
Yangdi,South China,Xiangtian Formation,29,24.967,110.368,107.8736,-0.8841,107.8736,-0.8841,LKW/UKW,light gray thick-bedded nodular limestone with intercalated thin-bedded limestone,periplatform slope intraplatoform basin ,limestone,limestone,proximal slope,3,3.2,d15N,local,oxic,1,dysoxic,2,white,water column,Cao et al 2022,https://doi.org/10.1016/j.palaeo.2021.110797,
"Sinsin, Belgium",Euramerica-North America,Namur-Dinant Basin,30,50.276,5.236,5.6033,-20.9742,5.6033,-20.9742,UKW,marlstones and mudstones interbedded sporadically with limestones,basin margin,N/A,limestone,distal slope,4,4.2,"d15N, ostracods",local,N/A,#N/A,dysoxic,2,#888B90,water column,"Percival et al 2022, Casier 2017",https://doi.org/10.1029/2021GC010308,
"Canning Basin, Australia",Gondwana ,"Virgin Hills formation, McWhae Ridge",31,-18.728,126.068,125.1772,-19.5683,125.1772,-19.5683,LKW/UKW,nodular thinly bedded red limestone/siltstone,marginal slope facies,limestone,siltstone,proximal slope,3,3.2,"sedimenrary facies, redox sensitve trace elements",local,oxic,1,dysoxic,2,#888B90,bottom,George et al 2015,https://doi.org/10.1130/G35249.1,
"Anti-Atlas, Morocco",Gondwana ,Mader Platform,32,30.908,-5.016,9.315,-38.5796,9.315,-38.5796,LKW/UKW,thin bedded black limestone/ sandstone altrnations,platform,limestone,limestone,platform,2,2.2,sedimentary facies,local,dysoxic,2,dysoxic,2,white,bottom,Wendt and Belka 1991,https://link.springer.com/article/10.1007/BF02536755,
"Anti-Atlas, Morocco",Gondwana ,Mader Basin,33,30.954,-4.862,9.4936,-38.5759,9.4936,-38.5759,LKW/UKW,thin bedded black limestone/ black shale altrnations,basin,grey shale,dark shale,basin,5,5.2,sedimentary facies,local,oxic,1,anoxic,3,#5C5858,bottom,Wendt and Belka 1992,,
"Anti-Atlas, Morocco",Gondwana ,Tafilal Platform,34,31.142,-4.253,10.202,-38.5526,10.202,-38.5526,LKW/UKW,thin bedded black limestone,platform,limestone,limestone,platform,2,2.2,sedimentary facies,local,oxic,1,dysoxic,2,#888B90,bottom,Wendt and Belka 1993,,
"Anti-Atlas, Morocco",Gondwana ,Tafilal Basin,35,31.086,-3.98,10.4676,-38.6743,10.4676,-38.6743,LKW/UKW,thin bedded black limestone/ black shale altrnations,basin,limestone,dark shale,basin,5,5.2,sedimentary facies,local,dysoxic,2,anoxic,3,#5C5858,bottom,Wendt and Belka 1994,,
"Anti-Atlas, Morocco",Gondwana ,Rheris Basin,36,31.559,-4.152,10.4624,-38.1789,10.4624,-38.1789,LKW/UKW,thin bedded black limestone/ black shale altrnations,slope ,dark shale,dark shale,distal slope,4,4.2,sedimentary facies,local,anoxic,3,anoxic,3,#5C5858,bottom,Wendt and Belka 1995,,
"Harz Mountains, Germany",Euramerica-Western Europe,Huhnerbach,37,51.864,10.349,7.4667,-17.8518,7.4667,-17.8518,LKW/UKW,"lenticular lenses of blakc limestones, altnating with black marls",submarine rise (shallowest) ,limestone,limestone,open ocean,1,1.2,"(redox sensitive)elemental ratios, sedimentary facies, SEM of iron sulphides",local,dysoxic,2,dysoxic,2,#888B90,bottom,Riquier et al. 2006,https://doi.org/10.1016/j.chemgeo.2006.02.021,https://www.researchgate.net/profile/Raimund-Feist/publication/257832974_Trilobites_during_the_Frasnian_Kellwasser_Crisis_in_European_Late_Devonian_cephalopod_limestones_In_P_Konigshof_and_R_Werner_Ed_Willi_Ziegler-Festschrift_II/links/0f317535b47174f2300
"Harz Mountains, Germany",Euramerica-Western Europe,Aeke Valley,38,51.847,10.436,7.5229,-17.833,7.5229,-17.833,LKW/UKW,"lenticular lenses of blakc limestones, altnating with black marls",submarine rise,limestone,limestone,open ocean,1,1.2,"(redox sensitive)elemental ratios, sedimentary facies, SEM of iron sulphides",local,dysoxic,2,dysoxic,2,#888B90,bottom,Riquier et al. 2006,,
"Harz Mountains, Germany",Euramerica-Western Europe,Kellwassertal,39,51.813,10.447,7.5497,-17.8562,7.5497,-17.8562,LKW/UKW,black laminated limestone,submarine rise (deepest),limestone,limestone,open ocean,1,1.2,"(redox sensitive)elemental ratios, sedimentary facies, SEM of iron sulphides",local,anoxic,3,anoxic,3,#5C5858,bottom,Riquier et al. 2006,,
