pO2_bg,PO4_bg,mscore_bg,State_bg,pCO2_bg,efolding (m)_bg,globe_avg_temp (C)_bg,dissolved_O2_sur (molkg-1x1E6)_bg,file_bg,benthic_anoxia_bg,pO2_ev,PO4_ev,mscore_ev,State_ev,pCO2_ev,efolding (m)_ev,globe_avg_temp (C)_ev,dissolved_O2_sur (molkg-1x1E6)_ev,file_ev,benthic_anoxia_ev,PO4_change,pO2_change,temp_change,benthic_anoxia_change,efolding_change,dissolved_O2_change (avg over top 500 m)
1.1,1.1,0.416669591,Background,2.5,1,21.46,113.6966021,251103.pO2PO4_55b.dat.31,3.85,1,1.4,0.642239103,Kellwasser,1,0.75,18.18,179.7021687,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.24,11.1,0.3,-0.1,3.28,7.25,-0.25,66.00556662
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1,1.4,0.615350876,Kellwasser,0.75,0.75,17.06,183.8741737,251030.pO2PO4_55b.dat.24,7.8,0.5,0,7,5.69,0,-19.67661956
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1,1.4,0.615350876,Kellwasser,0.75,0.75,17.06,183.8741737,251030.pO2PO4_55b.dat.24,7.8,0.5,0,7,5.69,0,-19.67661956
1.2,0.9,0.364158016,Background,2.5,0.5,21.46,239.3142786,251104.pO2PO4_55a.dat.44,1.1,1,1.4,0.642239103,Kellwasser,1,0.75,18.18,179.7021687,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.24,11.1,0.5,-0.2,3.28,10,0.25,-59.61210992
1.1,1,0.427801779,Background,2.5,0.75,21.46,85.84064926,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.30,1.38,1.1,1.6,0.5543525,Kellwasser,0.75,1,17.06,100.9647749,251025.pO2PO4_55c.dat.31,10.09,0.6,0,4.4,8.71,0.25,15.12412564
1.1,1,0.427801779,Background,2.5,0.75,21.46,85.84064926,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.30,1.38,1.1,1.7,0.554011959,Kellwasser,0.75,1,17.06,120.2411222,251025.pO2PO4_55c.dat.32,13.67,0.7,0,4.4,12.29,0.25,34.40047294
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,0.9,1.3,0.503735592,Kellwasser,0.75,1,17.06,161.3606291,251025.pO2PO4_55b.dat.13,11.56,0.4,-0.1,7,9.45,0.25,-42.19016413
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,0.9,1.3,0.503735592,Kellwasser,0.75,1,17.06,161.3606291,251025.pO2PO4_55b.dat.13,11.56,0.4,-0.1,7,9.45,0.25,-42.19016413
1.2,1.1,0.468167688,Background,2.5,0.75,21.46,111.5448613,Devon370Ma_075Remin_2.5pCO2.pO2PO4_55b.dat.41,1.65,1,1.5,0.524769688,Kellwasser,1,0.75,18.18,72.0914104,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.20,15.96,0.4,-0.2,3.28,14.31,0,-39.45345088
1,1,0.371971628,Background,2.5,1,21.46,87.83979865,251103.pO2PO4_55b.dat.20,2.75,1,1.5,0.576999912,Kellwasser,0.75,1,17.06,80.04620759,251025.pO2PO4_55c.dat.20,12.84,0.5,0,4.4,10.09,0,-7.793591063
