,index,pO2_bg,PO4_bg,mscore_bg,State_bg,pCO2_bg,efolding (m)_bg,globe_avg_temp (C)_bg,dissolved_O2_sur (molkg-1x1E6)_bg,file_bg,benthic_anoxia_bg,pO2_ev,PO4_ev,mscore_ev,State_ev,pCO2_ev,efolding (m)_ev,globe_avg_temp (C)_ev,dissolved_O2_sur (molkg-1x1E6)_ev,file_ev,benthic_anoxia_ev,PO4_change,pO2_change,temp_change,benthic_anoxia_change,efolding_change,O2_change,rmse
155,154,1.0,0.9,0.427189722,Background,5.0,0.75,24.06,203.5507932,Devon370Ma_075xRemin_5xpCO2.pO2xPO4_5x5a.dat.24,2.11,1.1,1.5,0.646946866,Kellwasser,1.0,0.75,18.18,74.9922765,Devon370Ma_075xRemin_1xpCO2.pO2xPO4_5x5c.dat.30,7.98,0.6,0.1,-5.88,5.87,0.0,-128.5585167,13.35470327637601
457,456,1.1,1.1,0.355966851,Background,5.0,1.0,24.06,102.5284655,Devon370Ma_1xRemin_5xpCO2.pO2xPO4_5x5b.dat.31,3.67,1.2,1.8,0.49245255,Kellwasser,0.75,1.0,17.06,146.8665869,Devon370Ma_1xRemin_0.75xpCO2.pO2xPO4_5x5c.dat.43,10.64,0.7,0.1,-7.0,6.97,0.0,44.3381214,13.372021423676827
459,458,1.1,1.1,0.355966851,Background,5.0,1.0,24.06,102.5284655,Devon370Ma_1xRemin_5xpCO2.pO2xPO4_5x5b.dat.31,3.67,1.2,1.9,0.49245255,Kellwasser,0.75,1.0,17.06,170.2301379,Devon370Ma_1xRemin_0.75xpCO2.pO2xPO4_5x5c.dat.44,10.64,0.8,0.1,-7.0,6.97,0.0,67.7016724,13.372021423676827
29,28,1.2,0.9,0.352479784,Background,5.0,0.5,24.06,223.9596215,Devon370Ma_050xRemin_5xpCO2.pO2xPO4_5x5a.dat.44,1.19,1.2,1.6,0.590950113,Kellwasser,0.75,0.75,17.06,98.41647989,Devon370Ma_075xRemin_0.75xpCO2.pO2xPO4_5x5c.dat.41,6.7,0.7,0.0,-7.0,5.51,0.25,-125.5431416,13.388245601353887
378,377,1.0,1.1,0.393150484,Background,2.5,1.0,21.46,107.1565566,251103.pO2xPO4_5x5b.dat.21,3.94,1.1,1.8,0.429420913,Kellwasser,0.75,1.0,17.06,141.0442492,Devon370Ma_1xRemin_0.75xpCO2.pO2xPO4_5x5c.dat.33,18.35,0.7,0.1,-4.4,14.41,0.0,33.8876926,13.392073455660604
145,144,1.0,0.9,0.427189722,Background,5.0,0.75,24.06,203.5507932,Devon370Ma_075xRemin_5xpCO2.pO2xPO4_5x5a.dat.24,2.11,1.0,1.5,0.447463833,Kellwasser,0.75,0.75,17.06,75.25343972,Devon370Ma_075xRemin_0.75xpCO2.pO2xPO4_5x5c.dat.20,8.53,0.6,0.0,-7.0,6.42,0.0,-128.2973535,13.431096998485678
214,213,1.0,0.9,0.427189722,Background,5.0,0.75,24.06,203.5507932,Devon370Ma_075xRemin_5xpCO2.pO2xPO4_5x5a.dat.24,2.11,1.0,1.5,0.447463833,Kellwasser,0.75,0.75,17.06,75.25343972,Devon370Ma_075xRemin_0.75xpCO2.pO2xPO4_5x5c.dat.20,8.53,0.6,0.0,-7.0,6.42,0.0,-128.2973535,13.431096998485678
337,336,0.9,1.0,0.356375169,Background,2.5,1.0,21.46,83.33381993,251103.pO2xPO4_5x5b.dat.10,3.94,1.0,1.6,0.575716022,Kellwasser,0.75,1.0,17.06,97.3596907,Devon370Ma_1xRemin_0.75xpCO2.pO2xPO4_5x5c.dat.21,18.07,0.6,0.1,-4.4,14.13,0.0,14.02587077,13.44291572983049
143,142,1.0,0.9,0.427189722,Background,5.0,0.75,24.06,203.5507932,Devon370Ma_075xRemin_5xpCO2.pO2xPO4_5x5a.dat.24,2.11,1.0,1.4,0.615350876,Kellwasser,0.75,0.75,17.06,183.8741737,Devon370Ma_075xRemin_0.75xpCO2.pO2xPO4_5x5b.dat.24,7.8,0.5,0.0,-7.0,5.69,0.0,-19.6766195,13.44816881531613
212,211,1.0,0.9,0.427189722,Background,5.0,0.75,24.06,203.5507932,Devon370Ma_075xRemin_5xpCO2.pO2xPO4_5x5a.dat.24,2.11,1.0,1.4,0.615350876,Kellwasser,0.75,0.75,17.06,183.8741737,Devon370Ma_075xRemin_0.75xpCO2.pO2xPO4_5x5b.dat.24,7.8,0.5,0.0,-7.0,5.69,0.0,-19.6766195,13.44816881531613
